20220217 033400;14593;14594.25;14592.5;14592.5;87
20220217 033500;14592.5;14592.5;14590.25;14590.5;131
20220217 033600;14591;14593;14589.5;14592;131
20220217 033700;14591.75;14593.5;14591.25;14591.75;73
20220217 033800;14592;14594;14592;14593.75;53
20220217 033900;14593.75;14594.5;14593;14593.25;87
20220217 034000;14593.5;14595;14593.5;14594.5;78
20220217 034100;14594.25;14596.5;14594.25;14596;140
20220217 034200;14596.25;14596.5;14595;14595.75;56
20220217 034300;14596;14596.25;14594.75;14595.75;48
20220217 034400;14596;14596.5;14595.75;14596.25;24
20220217 034500;14596.5;14596.5;14592.5;14593.75;97
20220217 034600;14593.75;14593.75;14591.25;14592.25;101
20220217 034700;14592.25;14594;14590.75;14591.75;91
20220217 034800;14592.25;14592.5;14590.25;14590.75;113
20220217 034900;14591;14592;14588.25;14589.5;161
20220217 035000;14590;14590.25;14582.25;14582.25;410
20220217 035100;14582;14586;14581.75;14583.75;273
20220217 035200;14583.75;14586;14583.25;14584.75;178
20220217 035300;14584.75;14585;14574.25;14577.5;875
20220217 035400;14577.5;14577.75;14573.25;14577;781
20220217 035500;14577.25;14577.75;14564.5;14564.5;1318
20220217 035600;14565;14566.25;14525;14527.75;4323
20220217 035700;14527.75;14528.5;14517;14519;3055
20220217 035800;14518.75;14532;14517.5;14531.75;2256
20220217 035900;14531.25;14532.75;14521.25;14525.5;1587
20220217 040000;14524.75;14526;14513;14517.5;1916
20220217 040100;14517.25;14517.75;14462;14465.25;5355
20220217 040200;14467.25;14473;14460;14463.75;3216
20220217 040300;14464;14493;14462.25;14487.25;2876
20220217 040400;14487.5;14487.75;14460;14469;2770
20220217 040500;14469.75;14471;14445.25;14448;3139
20220217 040600;14447.25;14468.5;14442.25;14463.5;3336
20220217 040700;14464;14485.5;14456;14477.25;2456
20220217 040800;14476.5;14482.25;14460.5;14461.5;1644
20220217 040900;14461;14467.5;14452.75;14463.5;1556
20220217 041000;14464.75;14473;14458.75;14472;1686
20220217 041100;14472;14474;14462;14471.25;1276
20220217 041200;14471.75;14494.5;14471.75;14493.75;2687
20220217 041300;14493.5;14497;14485.5;14496.5;2221
20220217 041400;14496.5;14507;14490.25;14495.75;2383
20220217 041500;14496.25;14496.25;14474.75;14481.75;2343
20220217 041600;14482.5;14487;14472.25;14483.5;1701
20220217 041700;14483.75;14485.25;14475.25;14485.25;937
20220217 041800;14485.25;14485.75;14475;14477.75;1065
20220217 041900;14477;14480.5;14464;14469;1420
20220217 042000;14469;14480.5;14465.75;14470.5;1333
20220217 042100;14470;14475.25;14464.75;14468.25;1010
20220217 042200;14469;14480.25;14468.75;14475;1046
20220217 042300;14475.75;14479.25;14474.25;14478.25;579
20220217 042400;14478.25;14492.5;14476.25;14491.5;1235
20220217 042500;14491.25;14492.75;14478.25;14480.75;862
20220217 042600;14480.5;14484.5;14475.75;14482.25;641
20220217 042700;14482.75;14484.75;14475.25;14477.75;461
20220217 042800;14477.25;14484.75;14476.25;14483;314
20220217 042900;14483.75;14490.25;14482.75;14484;665
20220217 043000;14484.25;14487.75;14480;14487.5;350
20220217 043100;14487.75;14491.25;14484;14489.5;461
20220217 043200;14489;14514;14487.75;14513.25;1787
20220217 043300;14513.5;14514.25;14504.25;14504.75;1190
20220217 043400;14505;14506;14498.5;14498.75;740
20220217 043500;14498.5;14499.75;14494.25;14495.25;520
20220217 043600;14495.5;14497.25;14492.75;14494;371
20220217 043700;14494.25;14494.25;14488;14489.5;572
20220217 043800;14489.75;14492;14485.25;14486.25;572
20220217 043900;14486.25;14490.5;14485;14486;440
20220217 044000;14486.25;14491.75;14485.5;14487.75;389
20220217 044100;14488.75;14489.25;14487;14489;121
20220217 044200;14489.25;14501.5;14488.75;14498.75;1076
20220217 044300;14498.5;14503.75;14498.5;14501.75;406
20220217 044400;14502.5;14503.75;14492.75;14495.75;468
20220217 044500;14496.25;14498;14493.25;14494.5;225
20220217 044600;14495;14497.75;14493.5;14493.5;238
20220217 044700;14493.25;14495;14488.5;14494.75;441
20220217 044800;14494.5;14502.75;14494;14501.75;384
20220217 044900;14502;14505.75;14500.75;14501.25;459
20220217 045000;14501.75;14502.75;14492.75;14493.25;733
20220217 045100;14493;14501.75;14487.5;14500.75;1016
20220217 045200;14501;14502.5;14494.5;14496.5;285
20220217 045300;14496;14497.25;14488;14489.75;570
20220217 045400;14489.75;14493.25;14483.75;14486.25;577
20220217 045500;14486.75;14487.25;14483;14483.75;416
20220217 045600;14485;14487.25;14483.25;14484;345
20220217 045700;14484;14491.25;14483.25;14491.25;290
20220217 045800;14492;14492.5;14486;14488.5;289
20220217 045900;14489;14491.25;14483.25;14490.5;535
20220217 050000;14490.75;14493.75;14485.25;14486.5;394
20220217 050100;14486.75;14487.25;14475;14476.5;1185
20220217 050200;14476.25;14484.5;14475.75;14482.5;662
20220217 050300;14482.5;14485.75;14480.25;14481.5;386
20220217 050400;14482.25;14491.75;14482.25;14490;501
20220217 050500;14490.25;14490.5;14483;14485.25;322
20220217 050600;14485.5;14490.5;14481.25;14488.75;435
20220217 050700;14488.75;14526.25;14487;14524.25;2482
20220217 050800;14524.75;14528.75;14511.25;14515.5;2707
20220217 050900;14515.75;14521;14512.75;14518.25;1277
20220217 051000;14518;14518;14508.75;14509.75;890
20220217 051100;14509;14518.25;14508.75;14512;637
20220217 051200;14512.25;14518.75;14511;14514.75;582
20220217 051300;14514;14514.25;14504;14509.75;839
20220217 051400;14509.25;14512.75;14505.25;14508.75;345
20220217 051500;14509;14511.25;14507.25;14508.5;296
20220217 051600;14509;14511.5;14508.25;14510.75;186
20220217 051700;14511;14522.75;14511;14519.25;895
20220217 051800;14518.5;14527.5;14518.5;14526.25;1005
20220217 051900;14526.5;14527.5;14521.25;14524.75;560
20220217 052000;14524.5;14526.5;14520.75;14521;409
20220217 052100;14521;14523.75;14518.25;14519.25;273
20220217 052200;14519.5;14521.75;14517;14518.25;275
20220217 052300;14519;14521.5;14518.25;14520.25;208
20220217 052400;14520.5;14526;14519.75;14525.5;369
20220217 052500;14525.25;14531.75;14515.75;14518;1206
20220217 052600;14518;14523;14517.5;14520;389
20220217 052700;14519.75;14521.75;14512.25;14515.25;474
20220217 052800;14515.5;14516.75;14513;14515.25;274
20220217 052900;14514.75;14518.25;14512.75;14517.75;225
20220217 053000;14518;14521.25;14516.75;14518.25;266
20220217 053100;14518.25;14526;14513.5;14523.5;778
20220217 053200;14523.75;14535.5;14522.5;14528;1053
20220217 053300;14527.75;14531.25;14522.75;14529.25;572
20220217 053400;14529.25;14537.5;14528.75;14533.75;748
