No,Ticker,MarketCap,PE,FwdPE,PEG,PS,PB,PC,PFCF,EPSthisY,EPSnextY,EPSpast5Y,EPSnext5Y,Salespast5Y,Price,Change,Volume
90,CERN,26.85B,53.51,24.78,3.96,4.70,7.07,34.33,-,53.10%,12.23%,10.40%,13.52%,4.50%,92.10,0.47%,"985,316"
91,CF,14.73B,51.82,6.44,0.83,2.89,5.23,19.46,15.71,-33.80%,142.93%,-13.10%,62.70%,-0.90%,72.70,1.74%,"2,382,343"
92,CFG,23.09B,10.40,10.57,-,4.76,1.07,1.46,-,-41.70%,19.55%,7.50%,-2.76%,6.80%,55.06,2.61%,"1,830,071"
93,CHD,23.81B,29.43,28.05,3.76,4.59,6.81,132.26,62.37,27.60%,8.52%,15.20%,7.83%,7.60%,97.25,-0.33%,"752,313"
94,CHRW,11.70B,14.16,15.35,1.15,0.51,6.03,57.77,-,-11.20%,-7.63%,1.20%,12.30%,3.80%,89.96,0.84%,"474,043"
95,CHTR,105.33B,24.49,15.98,0.76,2.04,7.60,175.25,12.24,58.90%,23.39%,8.90%,32.03%,12.20%,610.57,0.43%,"1,783,408"
96,CI,75.56B,9.46,8.97,0.85,0.44,1.59,21.69,16.26,70.90%,11.67%,23.40%,11.15%,33.40%,227.41,0.96%,"1,119,564"
97,CINF,19.48B,7.69,23.12,0.53,2.16,1.63,17.95,13.12,-38.10%,-10.68%,14.40%,14.39%,7.90%,120.91,1.20%,"335,736"
98,CL,66.96B,31.06,22.07,4.68,3.84,113.23,63.29,67.23,14.10%,8.23%,15.60%,6.63%,0.50%,78.91,-0.44%,"2,193,169"
99,CLX,17.27B,71.80,24.00,-,2.44,56.28,89.93,1015.70,-24.20%,37.23%,2.50%,-3.53%,5.00%,142.95,-0.00%,"519,079"
100,CMA,13.04B,11.76,12.66,-,6.86,1.76,0.55,-,-56.50%,25.68%,3.80%,-10.70%,3.20%,100.47,2.63%,"327,152"
101,CMCSA,220.74B,15.59,11.90,1.09,1.90,2.25,25.34,14.30,33.50%,12.17%,11.30%,14.31%,7.60%,48.12,1.51%,"9,119,243"
102,CME,87.03B,32.56,29.69,4.22,18.56,3.14,55.45,-,-0.60%,8.21%,9.70%,7.71%,8.00%,239.21,0.02%,"788,067"
103,CMG,44.46B,68.27,37.68,2.35,5.89,19.14,41.31,52.96,82.90%,31.16%,97.10%,29.02%,14.10%,1572.09,0.52%,"122,173"
104,CMI,31.40B,15.04,10.92,1.40,1.31,3.70,9.85,44.04,21.60%,14.65%,12.20%,10.72%,6.50%,222.94,1.59%,"385,721"
105,CMS,17.90B,24.21,19.96,3.72,2.44,2.82,39.59,-,4.00%,8.92%,4.00%,6.50%,2.80%,62.24,-0.24%,"589,788"
106,CNC,48.33B,36.14,12.98,3.38,0.38,1.81,3.60,16.88,-0.60%,16.82%,16.60%,10.69%,37.30%,83.72,2.09%,"934,874"
107,CNP,17.06B,19.44,19.15,10.80,2.11,2.02,16.34,-,-229.10%,-5.83%,2.10%,1.80%,0.10%,27.09,0.69%,"1,587,613"
108,COF,66.67B,5.78,8.06,0.13,2.59,1.18,2.50,5.55,-53.00%,-4.36%,-5.80%,45.90%,4.90%,159.45,2.78%,"913,166"
109,COO,19.72B,6.61,24.08,0.66,6.75,2.77,205.59,37.72,8.70%,13.10%,60.30%,10.00%,8.20%,397.28,1.52%,"64,868"
110,COP,118.67B,15.09,11.66,8.50,2.59,2.77,11.29,55.79,-139.20%,-9.72%,6.80%,1.78%,-8.60%,89.36,-2.39%,"4,934,152"
111,COST,228.51B,43.59,35.95,4.37,1.13,12.17,16.96,7371.26,25.00%,9.32%,16.20%,9.98%,10.50%,514.39,1.55%,"649,938"
112,CPB,13.00B,13.96,15.18,6.17,1.55,4.11,188.36,30.51,69.70%,3.98%,12.80%,2.27%,1.30%,44.27,0.55%,"799,177"
113,CPRT,30.82B,29.63,26.56,1.33,10.59,7.67,23.74,46.40,32.90%,7.24%,28.60%,22.30%,16.20%,126.28,2.89%,"458,015"
114,CRL,16.95B,42.40,28.24,2.72,4.95,6.80,79.41,37.51,41.90%,12.90%,17.90%,15.56%,16.50%,311.82,-4.77%,"690,139"
115,CRM,212.86B,112.36,43.65,11.22,8.52,3.55,22.67,38.75,-4.90%,1.05%,129.30%,10.02%,26.10%,211.84,2.64%,"2,809,510"
116,CSCO,228.33B,19.77,14.44,3.03,4.50,5.25,9.78,28.76,-5.20%,7.60%,3.40%,6.53%,0.20%,54.18,1.88%,"8,645,175"
117,CSX,76.63B,20.23,17.36,1.23,6.12,5.77,-,36.90,-13.70%,8.74%,12.50%,16.46%,-2.20%,34.68,2.24%,"8,570,579"
118,CTAS,39.06B,34.58,30.93,2.91,5.26,10.78,345.04,42.01,26.30%,9.43%,20.60%,11.90%,8.20%,376.37,1.58%,"174,731"
119,CTLT,18.11B,30.39,23.68,1.92,4.04,3.86,19.79,-,174.00%,11.47%,28.60%,15.80%,16.70%,99.74,0.77%,"507,115"
