No,Ticker,MarketCap,PE,FwdPE,PEG,PS,PB,PC,PFCF,EPSthisY,EPSnextY,EPSpast5Y,EPSnext5Y,Salespast5Y,Price,Change,Volume
364,PFE,278.53B,12.76,9.39,1.31,3.43,3.69,9.38,-,-36.50%,-24.11%,1.20%,9.77%,-3.10%,49.51,-0.59%,"18,676,933"
365,PFG,20.33B,11.93,10.91,0.87,1.46,1.24,6.46,9.71,1.70%,3.50%,4.50%,13.73%,4.20%,76.00,2.43%,"536,685"
366,PG,377.83B,27.70,24.44,3.90,4.82,8.65,32.73,60.34,10.90%,8.56%,9.50%,7.10%,3.10%,157.42,0.44%,"3,451,837"
367,PGR,62.32B,18.75,17.88,-,1.31,3.44,230.31,12.76,43.90%,27.19%,35.00%,-10.10%,15.40%,106.07,-0.13%,"1,106,827"
368,PH,39.19B,21.74,15.11,1.91,2.56,4.42,79.98,26.30,44.10%,8.90%,17.80%,11.37%,4.80%,308.52,2.45%,"357,130"
369,PHM,12.06B,6.38,4.20,0.27,0.87,1.61,6.78,15.39,43.50%,11.17%,33.50%,23.70%,12.70%,49.01,2.49%,"885,582"
370,PKG,14.05B,16.64,14.10,4.19,1.82,3.84,7.85,21.74,-34.00%,2.42%,1.70%,3.97%,3.00%,148.90,1.28%,"290,111"
371,PKI,23.33B,22.40,25.29,0.59,4.60,2.98,47.87,17.30,212.40%,2.99%,31.30%,37.90%,12.40%,180.26,-0.48%,"289,948"
372,PLD,109.11B,36.87,46.67,-,22.93,3.22,196.21,113.73,96.40%,18.49%,11.70%,-6.05%,13.40%,146.37,0.71%,"1,027,903"
373,PM,165.51B,18.75,15.47,1.67,5.27,-,36.81,45.48,13.00%,11.97%,5.40%,11.22%,3.30%,109.37,0.12%,"3,318,058"
374,PNC,87.82B,15.60,12.80,-,8.18,1.55,1.04,34.41,-33.50%,14.47%,-3.00%,-3.80%,3.90%,206.85,1.11%,"1,577,360"
375,PNR,10.01B,17.76,14.74,2.02,2.66,4.18,57.79,20.75,0.50%,6.64%,-0.60%,8.80%,-8.20%,59.89,1.57%,"356,057"
376,PNW,7.69B,14.87,17.24,148.66,2.05,1.27,299.12,-,20.50%,-24.65%,2.50%,0.10%,0.50%,68.24,-0.23%,"220,035"
377,POOL,18.37B,30.52,26.70,1.80,3.60,18.35,219.96,80.59,40.20%,11.18%,25.40%,17.00%,10.70%,458.86,1.76%,"141,852"
378,PPG,36.36B,25.17,16.56,1.52,2.16,5.68,27.88,24.18,-14.90%,19.59%,-1.50%,16.60%,-0.60%,152.28,2.02%,"403,526"
379,PPL,21.39B,132.48,17.80,-,3.43,1.49,4.49,-,-19.40%,35.81%,-4.40%,-,-0.20%,28.41,0.19%,"1,636,136"
380,PRU,44.33B,6.39,8.74,1.37,0.69,0.72,2.84,-,-113.60%,11.33%,-16.10%,4.65%,-0.10%,118.21,2.09%,"811,372"
381,PSA,62.53B,42.51,38.21,2.50,19.23,12.43,65.25,86.91,-13.80%,5.15%,0.70%,17.00%,4.10%,354.29,-0.38%,"168,346"
382,PSX,38.09B,-,11.49,-,0.40,2.20,13.15,-,-232.00%,3.02%,-26.00%,13.00%,-8.30%,89.12,-1.55%,"1,534,299"
383,PTC,13.57B,26.60,22.16,2.34,7.39,6.72,-,36.91,258.40%,16.65%,60.00%,11.35%,9.60%,112.39,0.43%,"287,831"
384,PVH,7.08B,13.96,9.70,-,0.80,1.33,5.45,11.51,-385.30%,7.70%,-34.00%,-6.04%,-2.30%,100.63,3.51%,"513,839"
385,PWR,14.59B,26.15,16.31,1.66,1.22,3.01,8.60,58.49,12.60%,27.36%,37.80%,15.74%,8.10%,103.66,4.22%,"503,672"
386,PXD,52.62B,44.03,10.56,-,3.68,2.36,72.58,15.20,-126.30%,64.94%,7.50%,-,19.50%,217.67,-2.85%,"1,952,839"
387,PYPL,137.25B,32.49,19.73,1.75,5.41,6.17,14.45,25.27,-0.70%,24.10%,25.00%,18.60%,18.50%,115.35,1.08%,"11,177,115"
388,QCOM,196.76B,18.93,13.12,1.29,5.46,16.38,17.40,44.90,74.00%,6.24%,15.60%,14.68%,7.30%,171.99,4.15%,"4,828,481"
389,QRVO,14.74B,13.07,9.83,0.90,3.24,3.04,14.91,17.02,125.60%,10.60%,101.40%,14.50%,9.00%,134.65,4.13%,"685,725"
390,RCL,24.47B,-,13.39,-,15.97,3.26,7.44,-,-402.20%,102.40%,-61.40%,-,-23.30%,85.84,3.73%,"2,228,048"
391,RE,11.40B,8.23,7.48,-,1.01,1.15,10.67,3.84,-51.60%,15.84%,-11.50%,-,10.10%,300.48,2.51%,"101,015"
392,REG,11.77B,33.48,30.42,3.68,10.44,1.83,32.74,41.47,-81.40%,10.07%,-27.90%,9.10%,12.30%,67.15,3.05%,"517,082"
393,REGN,65.54B,8.65,13.22,-,4.08,3.53,11.51,10.04,135.80%,1.22%,56.40%,-,27.00%,629.04,0.88%,"338,972"
394,RF,23.46B,9.85,10.81,0.39,5.75,1.38,0.85,16.41,-31.50%,9.67%,6.30%,25.10%,3.40%,25.36,3.45%,"4,055,383"
395,RHI,13.50B,22.30,18.36,1.92,2.09,10.02,21.30,63.26,-30.80%,7.74%,0.10%,11.60%,0.10%,122.46,2.41%,"451,209"
396,RJF,23.21B,15.10,12.13,1.77,2.22,2.63,2.82,10.92,71.00%,20.07%,22.20%,8.54%,12.40%,112.44,2.70%,"346,086"
397,RL,9.00B,18.37,13.73,-,1.50,3.29,3.01,14.37,-143.50%,8.25%,-18.30%,-,-9.90%,128.54,4.90%,"637,704"
398,RMD,34.22B,65.81,33.55,2.58,9.94,10.84,175.95,149.45,-24.10%,13.77%,5.40%,25.50%,11.70%,233.57,-0.02%,"243,335"
399,ROK,32.23B,31.30,22.33,2.72,4.42,12.43,59.62,119.68,32.10%,11.47%,15.80%,11.52%,3.50%,273.18,1.79%,"281,610"
400,ROL,15.27B,43.25,36.58,5.27,6.30,13.77,129.77,68.95,28.70%,11.66%,11.40%,8.20%,7.80%,31.07,0.75%,"569,568"
401,ROP,47.12B,40.91,26.28,5.45,8.16,4.11,133.67,25.42,-46.60%,8.42%,5.60%,7.50%,9.10%,442.97,0.18%,"238,631"
402,ROST,34.12B,21.03,17.63,-,1.88,8.31,6.49,28.01,-94.80%,11.19%,-37.40%,-,1.00%,95.62,1.44%,"1,338,115"
403,RSG,39.33B,29.35,23.09,2.62,3.48,4.26,-,41.99,-9.30%,10.64%,7.20%,11.20%,2.20%,118.79,0.18%,"850,129"
404,RTX,139.74B,36.23,16.14,2.24,2.17,1.97,18.69,415.91,-156.40%,20.88%,-20.20%,16.20%,0.20%,94.53,1.03%,"2,423,825"
405,SBAC,34.31B,119.62,77.01,-,15.25,-,-,42.46,-83.40%,65.79%,16.60%,-,4.90%,310.81,0.47%,"218,015"
406,SBNY,21.24B,26.16,13.22,4.14,10.63,2.56,0.73,22.58,-8.00%,28.75%,6.50%,6.32%,11.80%,342.24,3.28%,"258,335"
407,SBUX,109.54B,25.26,23.95,2.22,3.61,-,27.00,47.73,351.00%,17.17%,13.30%,11.40%,6.40%,95.03,1.47%,"3,715,799"
408,SCHW,172.84B,31.06,18.17,1.43,9.10,3.49,5.04,29.48,-20.60%,26.54%,15.60%,21.70%,13.20%,89.88,2.44%,"2,892,373"
409,SEDG,13.84B,94.01,36.00,3.33,7.82,10.51,20.29,114.32,-8.20%,37.18%,9.00%,28.22%,24.40%,259.57,4.15%,"469,478"
410,SEE,9.48B,21.24,15.28,1.83,1.77,74.48,24.08,25.22,102.00%,16.38%,32.60%,11.60%,2.10%,64.83,2.40%,"307,424"
411,SHW,72.69B,38.82,24.09,2.77,3.64,26.31,232.02,27.10,33.90%,17.76%,14.70%,14.01%,10.10%,272.73,0.83%,"535,361"
412,SIVB,37.35B,19.68,15.41,2.46,11.36,2.93,1.74,28.35,5.20%,31.45%,28.10%,8.00%,16.50%,643.20,3.49%,"166,069"
413,SJM,14.56B,19.66,15.21,12.18,1.84,1.79,93.72,39.30,14.00%,5.46%,6.20%,1.61%,0.50%,136.02,-1.03%,"282,260"
414,SLB,53.18B,29.84,15.00,0.61,2.32,3.68,16.94,18.92,117.40%,33.33%,25.10%,48.55%,-3.80%,39.97,1.70%,"9,509,920"
415,SNA,11.43B,14.11,12.99,2.82,2.48,2.80,15.54,14.92,-7.80%,5.37%,7.20%,5.00%,1.90%,215.22,2.14%,"170,608"
416,SNPS,47.69B,61.25,32.70,4.11,11.34,8.52,30.17,34.09,12.80%,15.50%,22.80%,14.90%,11.70%,302.21,2.46%,"312,491"
417,SO,68.91B,23.46,18.61,3.78,3.07,2.44,33.16,-,-34.90%,4.46%,2.50%,6.20%,3.10%,65.34,-0.77%,"2,934,442"
418,SPG,46.67B,20.47,20.63,2.38,9.12,13.78,106.45,34.25,-47.30%,3.67%,-9.40%,8.60%,-2.60%,141.97,1.48%,"696,832"
419,SPGI,93.87B,30.43,23.68,2.90,11.31,45.11,14.42,33.29,29.40%,10.27%,9.50%,10.50%,7.90%,385.62,1.29%,"664,389"
420,SRE,43.02B,37.49,15.97,8.72,3.53,1.82,49.28,27.18,9.20%,2.38%,4.00%,4.30%,2.20%,135.30,0.13%,"298,586"
421,STE,23.02B,77.88,28.01,7.79,5.42,3.43,64.11,89.48,-2.80%,2.16%,24.40%,10.00%,6.80%,230.56,1.77%,"151,683"
422,STT,36.92B,13.73,9.46,0.96,18.78,1.35,0.25,-,17.60%,23.17%,7.20%,14.29%,0.80%,100.46,1.80%,"525,538"
423,STX,23.52B,13.33,10.67,0.53,1.96,39.90,23.74,49.11,41.60%,10.92%,45.50%,25.02%,-0.90%,109.75,3.42%,"584,335"
424,STZ,44.17B,-,20.20,-,5.09,3.92,122.25,33.54,-0.90%,15.66%,12.00%,9.61%,5.60%,221.69,-5.20%,"1,380,991"
425,SWK,27.08B,17.11,12.21,1.59,1.73,2.48,92.53,39.38,12.70%,10.57%,3.90%,10.77%,3.20%,166.37,1.24%,"501,327"
426,SWKS,23.38B,16.18,10.45,1.27,4.58,4.17,23.07,25.87,87.00%,11.41%,11.60%,12.70%,9.20%,139.08,3.23%,"556,414"
427,SYF,23.38B,6.01,7.67,0.17,1.53,1.83,2.80,3.54,222.90%,2.57%,22.10%,35.92%,0.70%,45.01,2.21%,"2,761,966"
428,SYK,95.90B,48.03,22.86,4.18,5.61,6.66,36.34,46.42,-23.30%,11.80%,2.20%,11.49%,7.60%,259.40,3.57%,"903,074"
429,SYY,41.79B,53.80,19.83,1.05,0.69,34.31,30.41,-,143.50%,30.25%,-9.10%,51.24%,0.40%,83.75,2.15%,"1,149,389"
430,T,172.60B,8.71,7.46,2.38,1.02,1.05,8.11,12.60,-139.60%,3.00%,-18.30%,3.66%,3.20%,24.41,1.50%,"18,112,891"
431,TAP,10.65B,-,12.16,-,1.07,0.81,17.27,11.64,-492.80%,-3.42%,-32.50%,2.87%,22.00%,49.69,0.57%,"338,439"
432,TDG,35.58B,49.47,29.98,1.91,7.28,-,7.39,46.03,27.50%,33.11%,0.00%,25.90%,8.60%,654.98,3.84%,"136,016"
433,TDY,19.61B,42.05,21.26,1.81,4.25,2.62,35.54,30.18,-1.20%,9.18%,14.30%,23.27%,6.10%,422.52,1.34%,"48,296"
434,TECH,16.42B,80.71,45.46,5.38,15.95,9.55,58.86,63.61,-40.40%,14.50%,4.40%,15.00%,13.30%,415.08,0.35%,"137,520"
435,TEL,48.01B,19.50,17.86,1.88,3.15,4.26,48.89,40.11,968.00%,11.40%,6.20%,10.36%,5.60%,148.04,3.14%,"860,458"
436,TER,18.99B,20.21,16.56,1.43,5.13,7.27,14.47,31.34,64.50%,39.94%,34.60%,14.16%,13.70%,116.94,4.13%,"952,237"
437,TFC,85.47B,14.09,11.46,12.93,6.21,1.35,2.69,25.82,-17.10%,14.16%,3.80%,1.09%,19.70%,64.48,2.35%,"1,959,561"
438,TFX,15.04B,34.66,22.56,3.15,5.45,4.06,31.26,30.00,-27.60%,6.11%,7.60%,11.00%,7.00%,327.15,3.09%,"107,980"
439,TGT,101.01B,15.35,15.60,1.10,0.98,7.33,17.56,22.46,36.30%,0.89%,10.50%,13.99%,4.90%,207.85,-0.35%,"2,566,037"
440,TJX,83.39B,31.19,20.26,-,1.83,12.66,12.28,189.27,-97.20%,12.77%,-46.30%,-,0.80%,68.72,1.07%,"3,206,130"
441,TMO,226.60B,28.84,23.10,2.65,5.78,5.71,-,29.17,73.80%,7.84%,26.50%,10.87%,13.70%,555.53,-1.01%,"697,038"
442,TMUS,157.59B,52.04,21.32,0.74,1.97,2.29,38.86,754.01,-40.80%,137.63%,23.60%,70.08%,16.40%,126.50,0.79%,"1,334,601"
443,TPR,11.17B,13.20,9.57,0.94,1.72,3.62,6.78,11.51,211.60%,13.08%,9.60%,14.00%,5.00%,40.67,4.16%,"1,772,811"
444,TRMB,17.05B,33.89,20.03,3.39,4.66,4.27,33.23,22.77,-24.00%,13.61%,27.00%,10.00%,6.60%,68.14,3.48%,"662,669"
445,TROW,33.20B,10.98,11.22,0.90,4.33,3.96,9.71,35.93,14.70%,5.05%,16.60%,12.20%,8.10%,147.74,2.50%,"927,588"
446,TRV,42.18B,11.98,11.82,1.34,1.23,1.49,51.56,6.60,6.00%,12.87%,-0.70%,8.94%,3.60%,171.67,0.53%,"514,883"
447,TSCO,24.93B,25.31,21.25,1.86,1.96,12.32,22.43,43.49,36.90%,9.04%,16.30%,13.60%,11.30%,220.39,1.13%,"354,320"
448,TSLA,879.49B,177.93,69.73,8.20,16.34,29.39,49.67,76.71,669.20%,22.06%,48.60%,21.70%,50.40%,917.69,4.79%,"14,097,725"
449,TSN,34.35B,8.89,11.93,1.19,0.69,1.87,11.62,17.91,48.00%,-5.09%,13.00%,7.50%,5.00%,94.32,-0.59%,"949,565"
450,TT,36.29B,25.41,19.32,1.35,2.57,5.74,16.81,45.13,48.30%,11.00%,1.60%,18.78%,0.90%,154.48,2.00%,"591,283"
451,TTWO,19.47B,37.06,26.51,2.53,5.70,5.25,7.90,-,43.60%,28.58%,121.30%,14.63%,19.00%,169.48,1.44%,"773,865"
452,TWTR,29.53B,-,29.62,-,5.81,3.97,3.98,109.11,-177.30%,30.27%,-12.90%,-,10.90%,36.62,2.59%,"7,516,554"
453,TXN,155.76B,19.66,17.32,1.97,8.49,11.24,15.99,64.69,38.50%,3.01%,18.90%,10.00%,6.50%,165.88,2.10%,"3,069,580"
454,TXT,15.31B,20.78,14.52,1.66,1.24,2.54,7.02,11.55,-61.50%,19.39%,-11.60%,12.50%,-2.80%,70.42,2.71%,"434,128"
455,TYL,19.78B,122.01,57.53,12.20,13.72,8.68,69.79,61.62,28.40%,15.83%,21.50%,10.00%,13.60%,475.64,1.79%,"48,862"
456,UA,6.83B,15.99,18.89,0.73,1.23,3.64,-,-,338.50%,29.00%,-,21.80%,-,15.64,3.51%,"2,779,171"
457,UAA,8.55B,18.85,18.68,0.68,1.54,4.08,6.82,15.41,-711.50%,16.60%,-26.00%,27.80%,2.50%,17.86,3.90%,"4,166,034"
458,UAL,15.93B,-,7.02,-,0.65,2.84,0.82,-,-318.50%,113.10%,-33.70%,-,-16.50%,50.10,6.76%,"12,280,634"
459,UDR,17.32B,116.94,142.21,-,13.42,5.33,15749.03,90.46,-67.80%,36.65%,-8.80%,-,6.80%,55.24,1.15%,"640,852"
460,UHS,10.71B,10.65,10.80,1.30,0.86,1.73,56.44,-,20.40%,4.06%,10.20%,8.21%,5.00%,134.68,1.86%,"236,558"
461,ULTA,20.27B,23.21,20.36,0.37,2.50,9.91,-,24.64,-74.40%,3.82%,-9.00%,62.03%,9.40%,379.07,4.53%,"289,380"
462,UNH,454.84B,26.23,19.20,1.79,1.58,6.37,21.57,33.46,11.90%,14.17%,21.70%,14.63%,10.40%,476.47,0.44%,"1,402,536"
463,UNP,156.62B,24.34,18.91,1.45,7.18,10.97,155.69,47.52,26.40%,11.05%,14.50%,16.75%,1.80%,249.29,2.78%,"1,668,741"
464,UPS,192.25B,14.56,15.85,1.04,1.98,15.46,18.21,42.35,-69.80%,5.25%,-22.00%,14.03%,7.70%,219.31,2.49%,"1,442,685"
465,URI,23.61B,16.47,10.29,0.77,2.43,3.79,163.98,6.77,56.00%,13.01%,24.20%,21.27%,11.00%,322.02,2.80%,"421,655"
466,USB,86.78B,11.35,11.05,1.14,6.43,1.80,1.36,14.00,-26.40%,20.59%,-0.70%,9.93%,3.70%,58.71,1.45%,"2,070,174"
467,V,474.39B,44.77,26.49,2.44,18.62,14.30,29.80,38.49,15.00%,18.99%,13.60%,18.37%,9.80%,228.52,1.41%,"3,912,201"
468,VFC,24.00B,19.67,16.49,0.44,2.07,6.40,17.99,-,-32.40%,13.36%,-18.70%,44.77%,-3.50%,61.70,3.02%,"2,004,002"
469,VIAC,22.73B,7.40,9.40,-,0.85,1.10,4.71,52.73,-26.30%,1.75%,3.30%,-6.49%,14.80%,35.62,1.68%,"6,517,884"
470,VLO,35.84B,-,12.31,-,0.38,2.09,10.25,75.61,-160.10%,4.88%,-19.50%,-13.80%,-5.90%,88.86,-0.95%,"2,148,919"
471,VMC,24.66B,37.67,29.13,2.06,4.81,3.80,181.69,59.69,-5.40%,26.82%,20.70%,18.25%,7.30%,189.37,2.98%,"340,883"
472,VNO,7.82B,-,57.14,-,5.06,1.53,3.67,25.89,-111.30%,18.05%,-22.50%,17.33%,-5.10%,43.56,6.92%,"1,538,757"
473,VRSK,31.20B,44.83,32.07,4.51,10.59,11.40,103.27,40.22,59.60%,13.86%,8.30%,9.95%,9.60%,193.96,1.12%,"230,462"
474,VRSN,23.56B,30.45,29.60,3.81,17.74,-,19.65,37.40,-2.40%,14.56%,20.20%,8.00%,3.60%,215.85,1.07%,"175,186"
475,VRTX,59.37B,25.62,15.19,2.17,7.84,5.83,7.89,24.65,-12.50%,7.09%,85.00%,11.80%,34.80%,232.18,0.41%,"618,936"
476,VTR,20.20B,95.35,-,-,5.42,1.68,140.50,97.32,-0.40%,-85.70%,0.10%,-,2.90%,50.98,1.84%,"1,301,117"
477,VTRS,18.42B,-,4.02,-,1.07,0.86,21.81,9.12,-6.10%,0.73%,-21.60%,-0.40%,4.80%,15.28,1.70%,"2,838,766"
478,VZ,219.39B,10.02,9.49,3.47,1.64,2.86,22.08,19.49,-7.60%,2.56%,-0.30%,2.88%,-0.50%,53.51,0.45%,"6,263,639"
479,WAB,16.73B,36.34,17.97,4.98,2.15,1.62,36.65,19.08,18.10%,14.41%,-11.90%,7.30%,18.00%,90.04,2.93%,"440,682"
480,WAT,19.83B,28.45,24.46,2.84,7.12,66.12,30.26,30.54,-3.30%,9.15%,8.20%,10.00%,3.00%,321.57,1.11%,"146,350"
481,WBA,41.32B,6.88,9.21,1.85,0.31,1.56,9.99,16.99,0.60%,2.02%,-9.70%,3.73%,2.50%,48.38,2.15%,"2,409,278"
482,WDC,16.65B,8.33,5.72,0.45,0.88,1.37,6.58,14.16,416.70%,14.46%,21.60%,18.50%,5.40%,55.42,4.84%,"1,984,780"
483,WEC,28.52B,21.80,19.59,3.57,3.43,2.59,1096.83,-,5.90%,6.49%,10.10%,6.10%,4.10%,89.51,-0.13%,"1,020,041"
484,WELL,34.92B,1106.53,87.36,85.12,7.67,2.02,114.88,157.60,-122.00%,13.43%,-16.80%,13.00%,3.60%,81.21,1.93%,"986,577"
485,WFC,233.59B,11.68,11.95,-,5.88,1.39,0.47,-,-89.80%,23.25%,-36.90%,-,-0.60%,58.65,1.37%,"9,594,959"
486,WHR,12.18B,6.93,6.99,1.12,0.55,2.45,4.00,9.28,66.50%,3.90%,19.60%,6.20%,1.20%,204.47,3.99%,"388,007"
487,WM,59.80B,32.98,23.56,2.69,3.33,8.29,515.48,37.56,-9.90%,11.51%,16.30%,12.25%,3.30%,142.52,0.53%,"795,723"
488,WMB,35.87B,36.33,22.84,18.16,3.79,3.28,167.62,36.68,-75.90%,7.42%,17.30%,2.00%,1.00%,29.95,-0.43%,"3,069,070"
489,WMT,373.62B,46.90,20.00,5.65,0.65,4.53,23.19,29.29,-8.50%,4.36%,0.80%,8.30%,3.00%,134.38,0.32%,"3,814,134"
490,WRB,16.15B,16.33,14.40,1.81,1.71,2.49,7.81,10.06,-20.20%,12.37%,1.70%,9.00%,2.30%,90.27,0.87%,"254,447"
491,WRK,12.11B,14.15,8.82,0.72,0.63,1.04,41.56,16.19,217.50%,10.90%,39.90%,19.63%,5.80%,47.64,4.04%,"1,537,044"
492,WST,29.03B,47.67,42.36,1.73,10.83,12.91,42.19,101.18,42.50%,6.65%,28.70%,27.60%,8.90%,383.57,-0.03%,"207,136"
493,WTW,27.94B,13.09,13.83,-,3.10,2.48,12.92,138.29,1.20%,16.47%,8.50%,-,19.60%,223.72,2.22%,"575,213"
494,WY,30.84B,11.79,23.31,2.36,3.02,2.96,13.26,11.77,160.50%,-27.30%,8.60%,5.00%,7.50%,41.99,2.63%,"2,538,139"
495,WYNN,10.91B,-,-,-,3.20,-,4.41,-,69.30%,93.00%,-64.60%,-,-12.50%,95.48,3.71%,"2,016,054"
496,XEL,35.83B,22.43,19.47,3.25,2.67,2.36,56.79,-,5.70%,7.33%,7.60%,6.90%,0.90%,66.03,-0.56%,"2,604,974"
497,XLNX,53.77B,52.51,44.99,2.79,14.63,13.15,14.52,55.65,-15.90%,7.36%,5.00%,18.83%,7.30%,194.87,0.00%,0
498,XOM,326.16B,14.65,12.79,2.52,1.16,2.10,68.40,883.89,-265.10%,-5.98%,-27.50%,5.81%,-5.70%,78.07,-1.16%,"16,344,922"
499,XRAY,11.78B,28.21,16.77,1.09,2.77,2.29,41.92,24.52,-132.30%,10.30%,-17.20%,25.84%,4.60%,56.02,4.63%,"1,126,798"
500,XYL,16.56B,37.93,26.98,2.02,3.19,5.20,-,33.94,-36.60%,22.97%,-5.60%,18.77%,5.90%,91.30,2.29%,"534,907"
501,YUM,36.19B,23.30,21.87,1.86,5.50,-,36.16,37.82,-28.80%,13.31%,7.10%,12.52%,-2.50%,122.74,1.10%,"2,426,940"
502,ZBH,24.98B,57.35,15.86,5.84,3.19,1.92,27.16,20.91,-117.60%,7.43%,-23.70%,9.82%,3.20%,121.77,4.09%,"849,521"
503,ZBRA,24.07B,27.46,19.25,2.75,4.28,7.64,72.50,23.83,66.10%,12.10%,51.00%,10.00%,9.50%,436.94,2.47%,"308,014"
504,ZION,11.46B,10.87,12.53,-,5.02,1.58,0.88,66.25,-27.30%,15.75%,20.30%,-,5.20%,74.44,2.87%,"978,333"
505,ZTS,93.17B,47.31,37.67,3.49,12.23,19.90,28.48,69.58,9.90%,11.67%,38.30%,13.57%,7.00%,197.99,0.79%,"1,947,882"
505,ZTS,93.17B,47.31,37.67,3.49,12.23,19.90,28.48,69.58,9.90%,11.67%,38.30%,13.57%,7.00%,197.99,0.79%,"1,947,882"
505,ZTS,93.17B,47.31,37.67,3.49,12.23,19.90,28.48,69.58,9.90%,11.67%,38.30%,13.57%,7.00%,197.99,0.79%,"1,947,882"
505,ZTS,93.17B,47.31,37.67,3.49,12.23,19.90,28.48,69.58,9.90%,11.67%,38.30%,13.57%,7.00%,197.99,0.79%,"1,947,882"
1,A,41.93B,34.33,25.55,2.45,6.64,7.55,26.62,39.52,71.00%,10.16%,22.90%,14.00%,8.50%,136.08,0.64%,"1,047,860"
2,AAL,11.99B,-,8.06,-,0.40,-,0.82,-,-583.80%,200.50%,-29.60%,16.09%,-15.80%,18.67,7.14%,"28,098,806"
3,AAP,13.97B,22.70,16.89,1.26,1.27,4.41,23.11,21.22,4.40%,11.28%,2.20%,18.00%,0.70%,224.79,0.23%,"1,293,061"
4,AAPL,2812.90B,28.04,25.72,1.89,7.44,38.47,44.01,32.23,71.40%,6.56%,22.00%,14.85%,11.10%,171.71,1.68%,"36,128,826"
5,ABBV,254.05B,34.04,11.72,8.30,4.60,18.67,20.74,23.66,-48.50%,-13.83%,-2.80%,4.10%,14.90%,144.07,0.74%,"4,775,198"
6,ABC,29.59B,18.20,12.11,1.76,0.13,120.84,8.35,16.46,144.40%,7.21%,3.20%,10.34%,7.80%,142.29,1.51%,"482,521"
7,ABMD,13.77B,100.32,62.90,17.18,13.73,9.22,20.57,56.00,11.40%,5.87%,42.20%,5.84%,20.80%,305.76,5.28%,"209,545"
8,ABT,221.04B,31.05,23.77,2.36,5.13,6.33,22.81,38.37,24.50%,6.39%,7.80%,13.18%,11.10%,123.84,0.86%,"2,599,786"
9,ACN,223.32B,33.92,27.69,2.76,4.16,10.13,39.57,45.15,16.00%,11.61%,7.30%,12.28%,7.70%,328.43,0.71%,"1,132,638"
10,ADBE,233.52B,47.33,29.14,3.08,14.79,15.18,40.28,33.93,-7.60%,17.96%,34.00%,15.35%,21.90%,476.39,0.50%,"1,843,209"
11,ADI,85.04B,41.77,18.11,2.83,11.62,1.96,43.00,66.33,5.60%,12.61%,4.70%,14.78%,16.40%,160.81,4.44%,"1,741,992"
12,ADM,42.57B,15.91,14.64,2.41,0.50,1.95,39.31,-,24.80%,0.19%,1.00%,6.60%,-1.00%,76.96,1.10%,"798,787"
13,ADP,85.57B,31.28,26.61,2.28,5.45,16.79,48.49,62.62,6.80%,11.18%,13.30%,13.71%,5.20%,203.66,0.83%,"470,111"
14,ADSK,52.41B,38.21,33.42,1.33,12.44,38.99,29.25,37.62,440.10%,35.23%,41.70%,28.84%,8.60%,232.28,2.37%,"692,058"
15,AEE,21.89B,22.29,21.04,2.82,3.54,2.26,3127.07,21.54,4.50%,5.39%,8.10%,7.90%,-1.00%,85.12,-0.01%,"387,798"
16,AEP,43.28B,18.45,17.34,3.24,2.65,1.93,27.20,18.60,11.60%,5.97%,3.80%,5.70%,-1.90%,85.78,-0.46%,"1,218,845"
17,AES,14.84B,28.02,13.14,3.76,1.36,6.24,9.39,-,-85.80%,7.79%,-32.60%,7.45%,-3.00%,21.85,1.82%,"1,263,797"
18,AFL,42.64B,10.06,11.68,3.18,1.93,1.28,6.87,8.75,50.70%,4.51%,17.90%,3.16%,1.00%,64.87,1.01%,"1,326,842"
19,AIG,50.17B,9.26,11.10,0.30,1.05,0.78,18.59,16.51,-286.60%,12.44%,-43.90%,30.69%,-5.80%,60.64,2.80%,"1,931,831"
20,AIZ,9.27B,16.01,11.62,0.94,0.91,1.67,4.57,7.34,35.70%,16.10%,31.00%,17.00%,-1.50%,166.58,2.83%,"253,778"
